Run	submitted_subject_id
SRR8220404	GTEX-139D8
SRR1407537	GTEX-12WSL
SRR8219775	GTEX-12WSL
SRR1407560	GTEX-12WSI
SRR8219716	GTEX-12WSI
SRR1407583	K-562
SRR8233053	K-562
SRR1407602	GTEX-ZUA1
SRR8232511	GTEX-ZUA1
SRR1407624	GTEX-WWTW
SRR8230430	GTEX-WWTW
SRR1407648	GTEX-ZLV1
SRR8232225	GTEX-ZLV1
SRR1407671	GTEX-ZEX8
SRR8232077	GTEX-ZEX8
SRR1407693	GTEX-139TS
SRR8220469	GTEX-139TS
SRR1407734	GTEX-12696
SRR8219424	GTEX-12696
SRR1407758	GTEX-Y5V6
SRR8231397	GTEX-Y5V6
SRR1407950	GTEX-YB5E
SRR8231532	GTEX-YB5E
SRR1407969	GTEX-131XG
SRR8220107	GTEX-131XG
SRR1407988	GTEX-ZQUD
SRR8232368	GTEX-ZQUD
SRR1408014	GTEX-13NZ9
SRR8221054	GTEX-13NZ9
SRR1408032	GTEX-12WSK
SRR8219761	GTEX-12WSK
SRR1408055	GTEX-QEL4
SRR8228627	GTEX-QEL4
SRR1408072	GTEX-YB5K
SRR8231539	GTEX-YB5K
SRR1408091	GTEX-133LE
SRR8220288	GTEX-133LE
SRR1408113	GTEX-145LU
SRR8222104	GTEX-145LU
SRR1408136	GTEX-UPJH
SRR8229894	GTEX-UPJH
SRR1408161	GTEX-11DXY
SRR8218561	GTEX-11DXY
SRR1408183	GTEX-1477Z
SRR8222337	GTEX-1477Z
SRR1408208	GTEX-13O3Q
SRR8221171	GTEX-13O3Q
SRR1408227	GTEX-ZVT3
SRR8232634	GTEX-ZVT3
SRR1408249	GTEX-YB5K
SRR8231554	GTEX-YB5K
SRR1408267	GTEX-13VXT
SRR8221786	GTEX-13VXT
SRR1408285	GTEX-13NYS
SRR8221016	GTEX-13NYS
SRR1408303	GTEX-11P82
SRR8219049	GTEX-11P82
SRR1408327	GTEX-13QJC
SRR8221623	GTEX-13QJC
SRR1408349	GTEX-13U4I
SRR8221767	GTEX-13U4I
SRR1408368	GTEX-12ZZW
SRR8219833	GTEX-12ZZW
SRR1408393	GTEX-ZF28
SRR8232100	GTEX-ZF28
SRR1408415	GTEX-WI4N
SRR8230303	GTEX-WI4N
SRR1408449	GTEX-11VI4
SRR8219172	GTEX-11VI4
SRR1408471	GTEX-11LCK
SRR8218844	GTEX-11LCK
SRR1408494	GTEX-YEC3
SRR8231586	GTEX-YEC3
SRR1408512	GTEX-139TU
SRR8220502	GTEX-139TU
SRR1408529	GTEX-ZF28
SRR8232101	GTEX-ZF28
SRR1408553	GTEX-145ME
SRR8222135	GTEX-145ME
SRR1408574	GTEX-U412
SRR8229781	GTEX-U412
SRR1408595	GTEX-139TU
SRR8220499	GTEX-139TU
SRR1408615	GTEX-13NYC
SRR8221009	GTEX-13NYC
SRR1408633	GTEX-13FXS
SRR8220815	GTEX-13FXS
SRR1408657	GTEX-Y3I4
SRR8231305	GTEX-Y3I4
SRR1408682	GTEX-139YR
SRR8220556	GTEX-139YR
SRR1408703	GTEX-WY7C
SRR8230492	GTEX-WY7C
SRR1408727	GTEX-Y3IK
SRR8231350	GTEX-Y3IK
SRR1408752	GTEX-QEG5
SRR8228599	GTEX-QEG5
SRR1408769	GTEX-139UC
SRR8220514	GTEX-139UC
SRR1408788	GTEX-148VJ
SRR8222430	GTEX-148VJ
SRR1409022	GTEX-WY7C
SRR8230494	GTEX-WY7C
SRR1409046	GTEX-YEC3
SRR8231594	GTEX-YEC3
SRR1409062	GTEX-ZAB5
SRR8231861	GTEX-ZAB5
SRR1409084	GTEX-WHWD
SRR8230281	GTEX-WHWD
SRR1409130	GTEX-ZP4G
SRR8232268	GTEX-ZP4G
SRR1409108	GTEX-11TTK
SRR8219112	GTEX-11TTK
SRR1409153	GTEX-QEG5
SRR8228600	GTEX-QEG5
SRR1409171	GTEX-ZVP2
SRR8232587	GTEX-ZVP2
SRR1409193	GTEX-132NY
SRR8220216	GTEX-132NY
SRR1409215	GTEX-Y8E4
SRR8231439	GTEX-Y8E4
SRR1409239	GTEX-14A6H
SRR8222493	GTEX-14A6H
SRR1409263	GTEX-ZAKK
SRR8231908	GTEX-ZAKK
SRR1409282	GTEX-13O3Q
SRR8221176	GTEX-13O3Q
SRR1409305	GTEX-13FLV
SRR8220716	GTEX-13FLV
SRR1409326	GTEX-13U4I
SRR8221781	GTEX-13U4I
SRR1409351	GTEX-11GSP
SRR8218760	GTEX-11GSP
SRR1409374	GTEX-YFC4
SRR8231679	GTEX-YFC4
SRR1409397	GTEX-Y111
SRR8231263	GTEX-Y111
SRR1409421	GTEX-13S86
SRR8221710	GTEX-13S86
SRR1409443	GTEX-ZYFD
SRR8232782	GTEX-ZYFD
SRR1409465	GTEX-ZLV1
SRR8232221	GTEX-ZLV1
SRR1409487	GTEX-ZYWO
SRR8232881	GTEX-ZYWO
SRR1409510	GTEX-ZTX8
SRR8232466	GTEX-ZTX8
SRR1409534	GTEX-147GR
SRR8222378	GTEX-147GR
SRR1409554	GTEX-12WSN
SRR8219823	GTEX-12WSN
SRR1409575	GTEX-11I78
SRR8218818	GTEX-11I78
SRR1409600	GTEX-13PVR
SRR8221546	GTEX-13PVR
SRR1409620	GTEX-139T6
SRR8220437	GTEX-139T6
SRR1409641	GTEX-ZF29
SRR8232113	GTEX-ZF29
SRR1409677	GTEX-12WSN
SRR8219812	GTEX-12WSN
SRR1409699	GTEX-ZVE2
SRR8232573	GTEX-ZVE2
SRR1409721	GTEX-11EI6
SRR8218623	GTEX-11EI6
SRR1409748	GTEX-Y114
SRR8231273	GTEX-Y114
SRR1409772	GTEX-1399R
SRR8220323	GTEX-1399R
SRR1409790	GTEX-1399R
SRR8220317	GTEX-1399R
SRR1409813	GTEX-145MN
SRR8222223	GTEX-145MN
SRR1409837	K-562
SRR8233047	K-562
SRR1409854	GTEX-13IVO
SRR8220856	GTEX-13IVO
SRR1409875	GTEX-11EMC
SRR8218661	GTEX-11EMC
SRR1409899	GTEX-13X6I
